jobID,organismIDRAST,organismName
573977,287.5041,Pseudomonas aeruginosa 4071
573975,287.5040,Pseudomonas aeruginosa 4025
573973,287.5039,Pseudomonas aeruginosa 4002
573972,287.5038,Pseudomonas aeruginosa 4063
573970,287.5037,Pseudomonas aeruginosa 4056
573968,287.5036,Pseudomonas aeruginosa 4060
573962,287.5032,Pseudomonas aeruginosa 4024
573961,287.5031,Pseudomonas aeruginosa 4072
547898,562.25880,Escherichia coli Sepsis149
547897,562.25879,Escherichia coli Sepsis84
547893,562.25878,Escherichia coli Sepsis76
525718,83333.385,Escherichia coli D12
525717,83333.384,Escherichia coli CFT079
525716,83333.383,Escherichia coli lambda31886
525715,83333.382,Escherichia coli B7A
525714,83333.381,Escherichia coli 5517
525713,83333.380,Escherichia coli 5552
525712,83333.379,Escherichia coli BL21
525711,83333.378,Escherichia coli C15
525710,83333.377,Escherichia coli 536
525709,83333.376,Escherichia coli CFT073
525708,83333.375,Escherichia coli UTI89
525707,83333.374,Escherichia coli UTI589
525706,83333.373,Escherichia coli 61655
525705,83333.372,Escherichia coli Ec958
525704,83333.371,Escherichia coli 33802
525703,83333.370,Escherichia coli 5124
525702,83333.369,Escherichia coli AP24
525700,83333.368,Escherichia coli 5115
525699,83333.367,Escherichia coli EcoB
525698,83333.366,Escherichia coli 4543
525697,83333.365,Escherichia coli Sepsis47
525696,83333.364,Escherichia coli Sepsis27
525695,83333.363,Escherichia coli RKI
525694,83333.362,Escherichia coli DOV
521492,470.4233,Acinetobacter baumannii vB_3085
521491,470.4232,Acinetobacter baumannii vB_3082
514766,470.4155,Acinetobacter baumannii Ab11
514765,470.4154,Acinetobacter baumannii Ab19
514764,470.4153,Acinetobacter baumannii Ab18
514759,470.4152,Acinetobacter baumannii Ab16
514758,470.4151,Acinetobacter baumannii Ab17
514757,470.4150,Acinetobacter baumannii Ab15
514756,470.4149,Acinetobacter baumannii Ab14
514755,470.4148,Acinetobacter baumannii Ab12
514754,470.4147,Acinetobacter baumannii Ab13
514753,470.4146,Acinetobacter baumannii Ab10
514752,470.4145,Acinetobacter baumannii Ab8
514579,470.4143,Acinetobacter baumannii Ab7
514578,470.4142,Acinetobacter baumannii Ab6
514577,470.4141,Acinetobacter baumannii Ab5
512859,1280.14152,Staphylococcus aureus USA300
512857,1280.14150,Staphylococcus aureus ATCC43300
512856,1280.14149,Staphylococcus aureus 18583
512855,1280.14148,Staphylococcus aureus 18412
512854,1280.14147,Staphylococcus aureus 13199
512853,1280.14146,Staphylococcus aureus 10388
512852,1280.14145,Staphylococcus aureus 8406
512851,1280.14144,Staphylococcus aureus 1092
512850,1280.14143,Staphylococcus aureus 510
512849,1280.14142,Staphylococcus aureus 277
512131,1280.14082,Staphylococcus aureus HH907
512065,1280.14081,Staphylococcus aureus AW10
512064,1280.14080,Staphylococcus aureus Sp1664
512063,1280.14079,Staphylococcus aureus PC3star
512062,1280.14078,Staphylococcus aureus RN6390
512061,1280.14077,Staphylococcus aureus PC-1
512060,1280.14076,Staphylococcus aureus PC-3
512059,1280.14075,Staphylococcus aureus P8+
512058,1280.14074,Staphylococcus aureus P7
512057,1280.14073,Staphylococcus aureus P6
512056,1280.14072,Staphylococcus aureus P5
512055,1280.14071,Staphylococcus aureus P4
512054,1280.14070,Staphylococcus aureus P3
512053,1280.14069,Staphylococcus aureus P2
512052,1280.14068,Staphylococcus aureus P1
512051,1280.14067,Staphylococcus aureus MC1
512050,1280.14066,Staphylococcus aureus MB138
512049,1280.14065,Staphylococcus aureus lambda02
512048,1280.14064,Staphylococcus aureus J01
512047,1280.14063,Staphylococcus aureus H18826
512045,1280.14062,Staphylococcus aureus DU5844NWMN
512044,1280.14061,Staphylococcus aureus CR1
512042,1280.14060,Staphylococcus aureus Cowan
512040,1280.14059,Staphylococcus aureus COL(new)
512039,1280.14058,Staphylococcus aureus AW35
512037,1280.14057,Staphylococcus aureus AW26
512036,1280.14056,Staphylococcus aureus ATCC29213
512035,1280.14055,Staphylococcus aureus 52824
512034,1280.14054,Staphylococcus aureus 10457
512033,1280.14053,Staphylococcus aureus 8325-BB255
512032,1280.14052,Staphylococcus aureus 8325-2
512030,1280.14051,Staphylococcus aureus 7058
512028,1280.14050,Staphylococcus aureus 6089
512027,1280.14049,Staphylococcus aureus 4297
512013,1280.14048,Staphylococcus aureus 4173
512012,1280.14047,Staphylococcus aureus 2113
512011,1280.14046,Staphylococcus aureus 1112
512010,1280.14045,Staphylococcus aureus 1059
495557,83333.271,Escherichia coli HLPACL4
495556,470.3945,Acinetobacter baumannii AbW16
495555,470.3944,Acinetobacter baumannii AbSLO
495554,470.3943,Acinetobacter baumannii AbFER
495553,470.3942,Acinetobacter baumannii Ab33
495552,470.3941,Acinetobacter baumannii Ab20
495551,470.3940,Acinetobacter baumannii Ab9
495550,470.3939,Acinetobacter baumannii Ab3
495549,470.3938,Acinetobacter baumannii Ab2
495548,470.3937,Acinetobacter baumannii Ab1
495547,83333.270,Escherichia coli Sepsis81
495546,83333.269,Escherichia coli Sepsis42
495545,83333.268,Escherichia coli Sepsis25
495544,83333.267,Escherichia coli RS218
495543,83333.266,Escherichia coli NIHI
495542,83333.265,Escherichia coli MK354CL1
495541,83333.264,Escherichia coli LIL1
495540,83333.263,Escherichia coli K-12
495539,83333.262,Escherichia coli E2348
495538,83333.261,Escherichia coli E042
495537,83333.260,Escherichia coli DI14
495536,83333.259,Escherichia coli CARO
495535,83333.258,Escherichia coli 5120
494351,83333.257,Escherichia coli AF48
475014,1280.12659,Staphylococcus aureus 8325-4
475010,562.16815,Escherichia coli 8542
475008,562.16814,Escherichia coli Eco96
475000,470.3588,Acinetobacter baumannii phi3074
474997,470.3587,Acinetobacter baumannii phi3073
474996,470.3586,Acinetobacter baumannii phi3072
474995,470.3585,Acinetobacter baumannii phi3071
474993,470.3584,Acinetobacter baumannii phi3060
474992,470.3583,Acinetobacter baumannii phi3049
474991,470.3582,Acinetobacter baumannii phi3043
474990,470.3581,Acinetobacter baumannii phi3040
474989,470.3580,Acinetobacter baumannii phi3033
474988,470.3579,Acinetobacter baumannii phi3007
474986,470.3577,Acinetobacter baumannii phi3005
474985,470.3576,Acinetobacter baumannii phi3003
453820,470.3215,Acinetobacter baumannii Ab100R_SCV
453819,470.3214,Acinetobacter baumannii Ab100R_N
453817,470.3213,Acinetobacter baumannii Ab100R_IS
453816,470.3212,Acinetobacter baumannii Ab100
414337,287.2998,Pseudomonas aeruginosa Phage PsPH1214
350857,6666666.189485,GR34(FO12)
350856,6666666.189484,GR34(FO12)
350837,470.2032,Acinetobacter baumannii Ab2Rphi9_2new
350836,470.2031,Acinetobacter baumannii Ab2Rphi9_2
350834,470.2030,Acinetobacter baumannii Ab2Rphi9_1
350833,470.2029,Acinetobacter baumannii Ab2_parent
316587,6666666.165864,Klebsiella pneumoniae BUCHalo
316586,6666666.165863,Klebsiella pneumoniae BUCR
316585,6666666.165862,Klebsiella pneumoniae BUCparent
311666,6666666.162829,Acinetobacter calcoaceticus 77R
311665,6666666.162828,Acinetobacter calcoaceticus 77parent
305298,6666666.158498,Streptococcus tigurinus AZ3a_Region3
299750,470.1189,Acinetobacter bacteriophage phiAbaV26
299748,470.1188,Acinetobacter bacteriophage phiAbaU7
294053,470.1183,Acinetobacter bacteriophage vB_phiAba10
294049,470.1182,Acinetobacter bacteriophage vB_phiAba8
294044,470.1181,Acinetobacter bacteriophage vB_phiAba4
293862,470.1179,Acinetobacter bacteriophage phiAba1
291227,470.1140,Acinetobacter baumannii ZW85-1
291226,470.1139,Acinetobacter baumannii XH386
291225,470.1138,Acinetobacter baumannii TCDC-AB0715
291223,470.1137,Acinetobacter baumannii TYTH-1
291222,470.1136,Acinetobacter baumannii NCGM237
291220,470.1135,Acinetobacter baumannii MDR-ZJ06
291219,470.1134,Acinetobacter baumannii MDR-TJ
291218,470.1133,Acinetobacter baumannii LAC-4
291217,470.1132,Acinetobacter baumannii IOMTU433
291216,470.1131,Acinetobacter baumannii D1279779
291213,470.1130,Acinetobacter baumannii BJAB07104
291212,470.1129,Acinetobacter baumannii BJAB0868
291211,470.1128,Acinetobacter baumannii BJAB0715
291210,470.1127,Acinetobacter baumannii AYE
291209,470.1126,Acinetobacter baumannii ATCC17978-mff
291208,470.1125,Acinetobacter baumannii ATCC17978
291207,470.1124,Acinetobacter baumannii ACICU
291206,470.1123,Acinetobacter baumannii AC30
291205,470.1122,Acinetobacter baumannii AC29
291204,470.1121,Acinetobacter baumannii AbH12O-A2
291157,470.1120,Acinetobacter baumannii AB030
291156,470.1119,Acinetobacter baumannii AB031
291155,470.1118,Acinetobacter baumannii AB0057
291154,470.1117,Acinetobacter baumannii AB037-0294
291153,470.1116,Acinetobacter baumannii AB5075-UW
291151,470.1115,Acinetobacter baumannii Ab04-mff
291150,470.1114,Acinetobacter baumannii A1
291149,470.1113,Acinetobacter baumannii 6411
291148,470.1112,Acinetobacter baumannii 6200
291147,470.1111,Acinetobacter baumannii 1656-2
282682,6666666.143760,streptococcus tigurinus AZ14(conc)
282681,6666666.143759,streptococcus tigurinus AZ3a(conc)
282680,6666666.143758,streptococcus tigurinus AZ8(conc)
282676,6666666.143754,streptococcus tigurinus 2426
282675,6666666.143753,streptococcus tigurinus ATCC15914(conc)
282674,6666666.143752,streptococcus tigurinus 2425(conc)
282673,6666666.143751,streptococcus tigurinus 1366(conc)
282672,6666666.143750,streptococcus tigurinus 859(conc)
282670,6666666.143749,streptococcus oralis Uo5(conc)
282626,6666666.143711,Bacteriophage A. baumannii Aba7
272037,6666666.134608,BACTERIOPHAGE vB_Kp1
269492,6666666.132517,unknown bacteriophage Aca53
269489,6666666.132515,unknown bacteriophage Aca52
269488,6666666.132514,unknown bacteriophage AbaTUR2
269486,6666666.132513,unknown bacteriophage AbaSLO
269485,6666666.132512,unknown bacteriophage AbaG865
269484,6666666.132511,unknown bacteriophage AbaB41
269483,6666666.132510,unknown bacteriophage Ab77
269459,6666666.132494,Klebsiella Pneumoniae Kp3
269458,6666666.132493,Klebsiella Pneumoniae Kp2
268736,6666666.132175,unknown bacteriophage Kp1OK
249417,6666666.117737,staphylococcus epidermidis ATCC12228
248530,927666.26,Streptococcus oralis Uo5
247723,6666666.116757,Pseudomonas Bacteriophage Ps18
247721,6666666.116755,Pseudomonas Bacteriophage Ps17
247720,6666666.116754,Pseudomonas Bacteriophage 352
247718,6666666.116752,Pseudomonas Bacteriophage F10
247717,6666666.116751,Pseudomonas Bacteriophage 73
247715,6666666.116749,Pseudomonas Bacteriophage COL21
247714,6666666.116748,Pseudomonas Bacteriophage 4460_E74_TV2
247712,6666666.116746,Pseudomonas Bacteriophage 31
247711,6666666.116745,Pseudomonas Bacteriophage F7
247709,6666666.116743,Pseudomonas Bacteriophage PH7
247708,6666666.116742,Pseudomonas Bacteriophage 119X
247706,6666666.116740,Pseudomonas Bacteriophage 24
247698,6666666.116736,Pseudomonas Bacteriophage Lysa F6301
247697,6666666.116735,Pseudomonas Bacteriophage 44
247696,6666666.116734,Pseudomonas Bacteriophage F8
247694,6666666.116732,Pseudomonas Bacteriophage 114
247690,6666666.116730,Pseudomonas Bacteriophage 1214
246897,6666666.116160,Streptococcus tigurinus 2426
246896,6666666.116159,Streptococcus tigurinus 2425
246895,6666666.116158,Streptococcus tigurinus 1366
236302,287.1317,Pseudomonas aeruginosa CHA
236300,287.1316,Pseudomonas aeruginosa 24_4
236298,287.1315,Pseudomonas aeruginosa 19_6
230893,1280.2201,Staphylococcus aureus B10
230892,1280.2200,Staphylococcus aureus B9
230891,1280.2199,Staphylococcus aureus B5
230890,1280.2198,Staphylococcus aureus B4
230889,1280.2197,Staphylococcus aureus B3
230888,1280.2196,Staphylococcus aureus B2
230887,1280.2195,Staphylococcus aureus B1
228928,1280.2193,Staphylococcus aureus Sa72Yok
228926,1280.2192,Staphylococcus aureus Sa80Yok
228920,1280.2191,Staphylococcus aureus Sa53Yok
228919,1280.2190,Staphylococcus aureus Sa51Yok
228914,1280.2189,Staphylococcus aureus Sa49Yok
228910,1280.2188,Staphylococcus aureus Sa45Yok
228905,1280.2187,Staphylococcus aureus Sa25Yok
226153,6666666.105490,streptococcus tigurinus AZ14
226151,6666666.105488,streptococcus tigurinus AZ8
226150,6666666.105487,streptococcus tigurinus AZ3a
214132,6666666.100469,streptococcus tigurinus ATCC15914
172497,6666666.81253,Staphylococcus aureus 10388
172494,6666666.81250,Staphylococcus aureus 10497
172493,6666666.81249,Staphylococcus aureus 15532
172491,6666666.81247,Staphylococcus aureus 18412
172490,6666666.81246,Staphylococcus aureus 18341
172488,6666666.81244,Staphylococcus aureus SA268
172487,6666666.81243,Staphylococcus aureus 71193
172484,6666666.81240,Staphylococcus aureus ISMMS1
172483,6666666.81239,Staphylococcus aureus HERMSA15
172481,6666666.81237,Staphylococcus aureus Z172
172480,6666666.81236,Staphylococcus aureus SA40
172472,6666666.81228,Staphylococcus aureus SA957
172470,6666666.81226,Staphylococcus aureus CN1
172463,6666666.81219,Staphylococcus aureus CHUV18583
172461,6666666.81217,Staphylococcus aureus CHUV16125
172458,6666666.81214,Staphylococcus aureus CHUV16035
172429,6666666.81187,Staphylococcus aureus MSHR1132
172428,6666666.81186,Staphylococcus aureus HO5096
172424,6666666.81182,Staphylococcus aureus VC40
172423,6666666.81181,Staphylococcus aureus ECTR2
172421,6666666.81179,Staphylococcus aureus 552053
172420,6666666.81178,Staphylococcus aureus TCH60
172413,6666666.81175,Staphylococcus aureus TW20
172412,6666666.81174,Staphylococcus aureus 08BA02176
172205,6666666.81045,Staphylococcus aureus TCH1516
172204,6666666.81044,Staphylococcus aureus COL
172202,6666666.81043,Staphylococcus aureus JH9
172196,6666666.81042,Staphylococcus aureus MSSA476
172195,6666666.81041,Staphylococcus aureus MW2
172194,6666666.81040,Staphylococcus aureus Mu3
172192,6666666.81039,Staphylococcus aureus Bmb9393
172191,6666666.81038,Staphylococcus aureus CA347
172189,6666666.81037,Staphylococcus aureus XN108
172188,6666666.81036,Staphylococcus aureus UAS391
172187,6666666.81035,Staphylococcus aureus NRS100
172186,6666666.81034,Staphylococcus aureus 502A
172185,6666666.81033,Staphylococcus aureus Mu50
172184,6666666.81032,Staphylococcus aureus N315
171949,6666666.80922,Staphylococcus aureus VT162
171948,6666666.80921,Staphylococcus aureus T0131
171946,6666666.80919,Staphylococcus aureus ST398
171945,6666666.80918,Staphylococcus aureus RF122
171944,6666666.80917,Staphylococcus aureus Newman
171943,6666666.80916,Staphylococcus aureus NCTC8325
171942,6666666.80915,Staphylococcus aureus MRSA252
171941,6666666.80914,Staphylococcus aureus M013
171940,6666666.80913,Staphylococcus aureus LGA251
171939,6666666.80912,Staphylococcus aureus JKD6159
171938,6666666.80911,Staphylococcus aureus JKD6008
171937,6666666.80910,Staphylococcus aureus JH1
171936,6666666.80909,Staphylococcus aureus ED133
171935,6666666.80908,staphylococcus aureus ED98
171901,6666666.80890,Staphylococcus aureus 11819-97
171900,6666666.80889,Staphylococcus aureus 04-02981
171898,6666666.80888,Staphylococcus aureus USA300_FPR3757
170930,6666666.80300,Streptococcus tigurinus 859
154003,1280.1825,Staphylococcus aureus M75
154002,1280.1824,Staphylococcus aureus M534
154001,1280.1823,Staphylococcus aureus F95
153993,1280.1821,Staphylococcus aureus M385
153991,1280.1820,Staphylococcus aureus Je
153984,1280.1819,Staphylococcus aureus M283
153845,1280.1818,Staphylococcus aureus M125
152644,1280.1817,Staphylococcus aureus M2117
152465,1280.1813,Staphylococcus aureus G57
152464,1280.1812,Staphylococcus aureus M1172
152451,1280.1811,Staphylococcus aureus G36
152425,1280.1809,Staphylococcus aureus Bc
152149,1280.1808,Staphylococcus aureus I37
150962,1280.1804,Staphylococcus aureus M184
150957,1280.1803,Staphylococcus aureus F173
143727,1280.1789,Staphylococcus aureus G34
143722,1280.1788,Staphylococcus aureus Laus102
143681,1280.1787,Staphylococcus aureus G16
143643,1280.1786,Staphylococcus aureus G04
143634,1280.1785,Staphylococcus aureus G03
140856,1280.1763,Staphylococcus aureus F60
133394,1280.1702,Staphylococcus aureus M86
133392,1280.1701,Staphylococcus aureus M52
133391,1280.1700,Staphylococcus aureus M5
133388,1280.1699,Staphylococcus aureus M37
133387,1280.1698,Staphylococcus aureus M356
132800,1280.1692,Staphylococcus aureus M323
132798,1280.1691,Staphylococcus aureus M32
132795,1280.1690,Staphylococcus aureus M319
132794,1280.1689,Staphylococcus aureus M313
132793,1280.1688,Staphylococcus aureus M308
132792,1280.1687,Staphylococcus aureus M3
132791,1280.1686,Staphylococcus aureus M222
132788,1280.1685,Staphylococcus aureus M20
132787,1280.1684,Staphylococcus aureus M192
132786,1280.1683,Staphylococcus aureus M186
132785,1280.1682,Staphylococcus aureus M160
132784,1280.1681,Staphylococcus aureus M159
132781,1280.1680,Staphylococcus aureus O103
132778,1280.1679,Staphylococcus aureus O100
132775,1280.1678,Staphylococcus aureus M2872
132773,1280.1677,Staphylococcus aureus Jn
132504,1280.1676,Staphylococcus aureus M126
132501,1280.1675,Staphylococcus aureus M124
132499,1280.1674,Staphylococcus aureus M117
132497,1280.1673,Staphylococcus aureus Laus385
132494,1280.1672,Staphylococcus aureus Laus270
132490,1280.1671,Staphylococcus aureus I36
132488,1280.1670,Staphylococcus aureus I29
132485,1280.1669,Staphylococcus aureus I2
132216,1280.1665,Staphylococcus aureus Jb
132215,1280.1664,Staphylococcus aureus G01
132214,1280.1663,Staphylococcus aureus Fu1
132213,1280.1662,Staphylococcus aureus 109-2
132212,1280.1661,Staphylococcus aureus 9--2
132211,1280.1660,Staphylococcus aureus Bk
